trialNumber,totalItemCount,targetCount,startTime,endTime,timeTaken,totalSelections,correctSelections,incorrectSelections,deselectedTargets,deselectedNonTargets,totalCursorDistance,netDeselectRate,targetDeselectRate,netAccuracy
1,11,3,310.69999998807907,3508,3.197300000011921,3,3,0,0,0,656.6577343469442,0,0,1
2,11,4,3508.699999988079,6370.699999988079,2.862,4,4,0,0,0,840.5310397861867,0,0,1
3,14,5,6371.400000035763,10598,4.226599999964237,5,5,0,0,0,902.9479840561706,0,0,1
4,10,6,10598.5,15398.600000023842,4.800100000023842,6,6,0,0,0,1754.5375130694952,0,0,1
5,14,4,15399.100000023842,18362,2.962899999976158,4,4,0,0,0,1411.0191433152627,0,0,1
6,12,5,18362.30000001192,21771.100000023842,3.408800000011921,5,5,0,0,0,1170.2575061889602,0,0,1
7,13,5,21771.600000023842,25388.400000035763,3.616800000011921,5,5,0,0,0,1426.734141499544,0,0,1
8,11,5,25389.100000023842,29218.400000035763,3.829300000011921,5,5,0,0,0,1943.6499701262937,0,0,1
9,14,4,29218.900000035763,32755,3.5360999999642373,4,4,0,0,0,1140.6592441403907,0,0,1
10,14,4,32755.400000035763,35945.80000001192,3.190399999976158,4,4,0,0,0,1522.0537162566309,0,0,1
11,13,3,35946.40000003576,38028.19999998808,2.0817999999523162,3,3,0,0,0,611.9556745564681,0,0,1
12,10,6,38028.69999998808,41474.19999998808,3.4455,6,6,0,0,0,1542.4699995726087,0,0,1
13,12,5,41474.80000001192,45407.10000002384,3.932300000011921,5,5,0,0,0,1834.4916119799623,0,0,1
14,15,3,45407.60000002384,47991.90000003576,2.584300000011921,3,3,0,0,0,1052.0499309406578,0,0,1
15,14,4,47992.40000003576,53695.60000002384,5.703199999988079,4,4,0,0,2,2146.6218993679877,0.5,0,1
16,10,3,53696.10000002384,56384.5,2.6883999999761583,3,3,0,0,0,1223.7278600232426,0,0,1
17,15,6,56384.90000003576,62230.30000001192,5.845399999976158,6,6,0,0,0,2555.6344460907044,0,0,1
18,12,6,62230.60000002384,65985.60000002384,3.755,6,6,0,0,0,1156.3311424161395,0,0,1
19,12,4,65986,69267.60000002384,3.281600000023842,4,4,0,0,0,1613.4623351137395,0,0,1
20,15,4,69268.19999998808,72103,2.834800000011921,4,4,0,0,0,1273.2589522418805,0,0,1
