trialNumber,totalItemCount,targetCount,startTime,endTime,timeTaken,totalSelections,correctSelections,incorrectSelections,deselectedTargets,deselectedNonTargets,totalCursorDistance,netDeselectRate,targetDeselectRate,netAccuracy
1,14,6,188.59999990463257,7104,6.915400000095367,5,5,0,1,0,2277.7670001271504,0.2,0.2,0.8333333333333334
2,12,5,7104.599999904633,11013.799999952316,3.909200000047684,4,4,0,2,1,1830.9470194654455,0.75,0.5,0.8
3,12,4,11014.699999928474,20783.399999976158,9.768700000047684,4,4,0,0,3,2030.1018652671353,0.75,0,1
4,10,4,20783.799999952316,24483.099999904633,3.6992999999523164,4,4,0,0,1,1683.4102627551417,0.25,0,1
5,15,6,24483.5,27183.099999904633,2.6995999999046325,6,6,0,0,0,1550.9633230151214,0,0,1
6,12,4,27183.5,29780.299999952316,2.5967999999523164,4,4,0,0,0,704.1624299143328,0,0,1
7,10,5,29780.799999952316,33485.199999928474,3.7043999999761583,5,5,0,1,0,2089.5223065214145,0.2,0.2,1
8,12,6,33485.799999952316,36806.799999952316,3.321,6,6,0,0,0,1391.099526877801,0,0,1
9,14,6,36807.699999928474,39873.39999997616,3.0657000000476837,6,6,0,0,0,1489.3137180882006,0,0,1
10,13,4,39874.09999990463,41851.89999997616,1.9778000000715257,4,4,0,0,0,1971.3554908799351,0,0,1
11,14,4,41852.59999990463,45565.299999952316,3.7127000000476835,4,4,0,0,1,2548.834175409157,0.25,0,1
12,12,4,45565.699999928474,48430.299999952316,2.864600000023842,4,4,0,0,0,1563.0205840388412,0,0,1
13,12,3,48430.799999952316,50266.799999952316,1.836,3,3,0,0,0,1581.39234932715,0,0,1
14,11,4,50267.09999990463,52576.39999997616,2.3093000000715254,4,4,0,0,0,1934.7201733420914,0,0,1
15,12,6,52577,55274.59999990463,2.6975999999046327,6,6,0,0,0,2068.9050546240987,0,0,1
16,10,5,55275,58042,2.767,5,5,0,0,0,1630.338015097241,0,0,1
17,15,4,58042.39999997616,61465.09999990463,3.4226999999284744,4,4,0,0,1,2550.4962186344455,0.25,0,1
18,14,6,61465.5,65179.5,3.714,6,6,0,0,0,2046.9933109499866,0,0,1
19,12,6,65179.799999952316,68262.29999995232,3.0825,6,6,0,0,0,2799.5381381700736,0,0,1
20,13,3,68262.69999992847,71990.69999992847,3.728,3,3,0,0,1,1879.7917507026823,0.3333333333333333,0,1
