trialNumber,totalItemCount,targetCount,startTime,endTime,timeTaken,totalSelections,correctSelections,incorrectSelections,deselectedTargets,deselectedNonTargets,totalCursorDistance,netDeselectRate,targetDeselectRate,netAccuracy
1,13,6,234.60000002384186,4484.200000047684,4.249600000023841,6,6,0,0,0,1790.0844937535708,0,0,1
2,11,5,4484.800000071526,8057.399999976158,3.5725999999046327,5,5,0,0,0,2289.7987611939375,0,0,1
3,11,6,8057.899999976158,11491.800000071526,3.433900000095367,6,6,0,0,0,2627.2579604116286,0,0,1
4,12,6,11492.300000071526,15072.200000047684,3.579899999976158,6,6,0,0,0,2857.2297311953207,0,0,1
5,11,6,15072.600000023842,18318.5,3.245899999976158,6,6,0,0,0,1901.274920662885,0,0,1
6,13,3,18319,20383.200000047684,2.0642000000476837,3,3,0,0,0,1370.3542837246086,0,0,1
7,10,6,20383.800000071526,24399.100000023842,4.015299999952316,6,6,0,0,0,2433.351624738297,0,0,1
8,10,5,24399.399999976158,27902,3.502600000023842,5,5,0,0,0,2367.2374470527416,0,0,1
9,12,4,27902.5,33119,5.2165,4,4,0,1,0,4002.8791524873177,0.25,0.25,1
10,11,4,33119.39999997616,36065,2.945600000023842,4,4,0,0,0,1951.2023014229171,0,0,1
11,10,6,36065.5,40254,4.1885,6,6,0,0,0,2678.6624990540836,0,0,1
12,15,3,40254.5,42727.800000071526,2.4733000000715255,3,3,0,0,0,1983.4324642665633,0,0,1
13,14,3,42728.200000047684,44598.5,1.8702999999523162,3,3,0,0,0,1012.8274222601882,0,0,1
14,15,3,44599,46380.39999997616,1.781399999976158,3,3,0,0,0,1462.2304256099671,0,0,1
15,13,5,46380.89999997616,50212.10000002384,3.8312000000476836,5,5,0,0,0,2569.4065749054585,0,0,1
16,13,3,50212.700000047684,52035.800000071526,1.8231000000238418,3,3,0,0,0,1252.6748447800042,0,0,1
17,12,4,52036.39999997616,54623.200000047684,2.5868000000715257,4,4,0,0,0,1636.807333075154,0,0,1
18,12,4,54623.800000071526,56813,2.1891999999284746,4,4,0,0,0,915.9447576173485,0,0,1
19,10,5,56813.700000047684,59551.60000002384,2.737899999976158,4,4,0,0,0,1772.3153074814861,0,0,0.8
20,15,4,59552,62670.89999997616,3.118899999976158,4,4,0,0,0,2284.207135942305,0,0,1
