trialNumber,totalItemCount,targetCount,startTime,endTime,timeTaken,totalSelections,correctSelections,incorrectSelections,deselectedTargets,deselectedNonTargets,totalCursorDistance,netDeselectRate,targetDeselectRate,netAccuracy
1,12,6,111.10000002384186,9614.900000095367,9.503800000071525,6,6,0,1,0,2295.401975640609,0.16666666666666666,0.16666666666666666,1
2,14,3,9615.400000095367,11872.800000071526,2.2573999999761583,3,3,0,0,0,1517.4306866253157,0,0,1
3,12,6,11873.200000047684,15048.400000095367,3.175200000047684,6,6,0,0,0,2554.5165629024095,0,0,1
4,12,4,15048.900000095367,17184,2.1350999999046327,4,4,0,0,0,1653.4091530337741,0,0,1
5,12,6,17184.400000095367,20422.300000071526,3.237899999976158,6,6,0,0,0,2109.0243675803968,0,0,1
6,11,6,20422.700000047684,24776.300000071526,4.3536000000238415,6,6,0,2,0,3092.892729420799,0.3333333333333333,0.3333333333333333,1
7,11,4,24776.600000023842,27406.400000095367,2.6298000000715254,4,4,0,0,0,2098.482998817954,0,0,1
8,10,5,27406.700000047684,30483.200000047684,3.0765,5,5,0,0,0,2394.456562889527,0,0,1
9,12,4,30483.5,34141.40000009537,3.6579000000953674,4,4,0,1,0,1630.4862289745151,0.25,0.25,1
10,11,4,34141.90000009537,37649.90000009537,3.508,4,4,0,0,1,2050.35784813105,0.25,0,1
11,15,5,37650.60000002384,41040.800000071526,3.3902000000476837,5,5,0,0,0,2545.4150393650566,0,0,1
12,14,6,41041.300000071526,44479,3.4376999999284745,6,6,0,0,0,2065.0945473912125,0,0,1
13,12,6,44479.60000002384,50580.200000047684,6.100600000023842,5,5,0,2,1,2310.4714364364886,0.6,0.4,0.8333333333333334
14,12,4,50580.5,53601.5,3.021,4,4,0,0,0,1718.756872287711,0,0,1
15,12,6,53602.200000047684,58659.60000002384,5.057399999976158,5,5,0,2,0,2502.471770314673,0.4,0.4,0.8333333333333334
16,11,3,58660,61220.800000071526,2.5608000000715254,3,3,0,0,0,1619.40828331164,0,0,1
17,14,5,61221.200000047684,64086.60000002384,2.8653999999761584,5,5,0,0,0,1621.4870787532395,0,0,1
18,11,4,64086.800000071526,66438.90000009537,2.352100000023842,4,4,0,0,0,2116.7994319639806,0,0,1
19,13,3,66439.5,67903.80000007153,1.4643000000715256,3,3,0,0,0,831.6876310141317,0,0,1
20,11,4,67904.20000004768,70298.10000002384,2.393899999976158,4,4,0,0,0,1094.7663645372218,0,0,1
