trialNumber,totalItemCount,targetCount,startTime,endTime,timeTaken,totalSelections,correctSelections,incorrectSelections,deselectedTargets,deselectedNonTargets,totalCursorDistance,netDeselectRate,targetDeselectRate,netAccuracy
1,15,5,220.5999999642372,4496.899999976158,4.276300000011921,5,5,0,0,0,1472.8964024816237,0,0,1
2,15,3,4497.599999964237,7278.899999976158,2.781300000011921,3,3,0,0,0,2031.140749230211,0,0,1
3,12,5,7279.5,10472.599999964237,3.1930999999642373,5,5,0,0,0,1872.127254897325,0,0,1
4,10,4,10473.199999988079,13237.5,2.764300000011921,4,4,0,0,0,762.2704312293495,0,0,1
5,13,6,13238,17152.19999998808,3.914199999988079,6,6,0,0,0,1740.610868392019,0,0,1
6,11,5,17152.80000001192,20555.80000001192,3.403,5,5,0,0,0,1881.8987100626746,0,0,1
7,11,3,20556.399999976158,23232.80000001192,2.6764000000357626,3,3,0,0,0,1497.1526378876893,0,0,1
8,14,3,23233.30000001192,25911.19999998808,2.6778999999761584,3,3,0,0,0,1730.874380605097,0,0,1
9,11,4,25911.599999964237,28516.69999998808,2.605100000023842,4,4,0,0,0,1689.8864365988634,0,0,1
10,14,3,28517.19999998808,30627,2.109800000011921,3,3,0,0,0,1397.8887792307332,0,0,1
11,10,6,30627.5,34116,3.4885,6,6,0,0,0,1903.901593710471,0,0,1
12,11,6,34116.30000001192,39706.30000001192,5.59,6,6,0,0,0,1723.6682787036343,0,0,1
13,15,5,39706.69999998808,43423.5,3.716800000011921,5,5,0,0,0,1622.441796961645,0,0,1
14,13,6,43424,47121,3.697,6,6,0,0,0,1225.7669483314587,0,0,1
15,10,6,47121.5,51594.80000001192,4.473300000011921,6,6,0,0,0,1652.287355093916,0,0,1
16,12,6,51595.39999997616,56155.69999998808,4.560300000011921,6,6,0,0,0,2296.112273194358,0,0,1
17,15,6,56156.39999997616,60042.89999997616,3.8865,6,6,0,0,0,2508.066792864501,0,0,1
18,10,5,60043.39999997616,63345,3.301600000023842,5,5,0,0,0,2075.745729830278,0,0,1
19,13,4,63345.39999997616,66655,3.309600000023842,4,4,0,0,0,1975.6848689693481,0,0,1
20,15,6,66655.59999996424,70941.69999998808,4.286100000023842,6,6,0,0,0,2072.3392998117693,0,0,1
