trialNumber,totalItemCount,targetCount,startTime,endTime,timeTaken,totalSelections,correctSelections,incorrectSelections,deselectedTargets,deselectedNonTargets,totalCursorDistance,netDeselectRate,targetDeselectRate,netAccuracy
1,12,3,264,3775.7000000476837,3.511700000047684,3,3,0,0,0,1672.0892288599061,0,0,1
2,14,3,3776.400000035763,5976.700000047684,2.200300000011921,3,3,0,0,0,2500.0536037141605,0,0,1
3,15,6,5977.400000035763,9502.100000023842,3.524699999988079,6,6,0,0,0,2855.7124037584204,0,0,1
4,14,4,9503.100000023842,11900.200000047684,2.397100000023842,4,4,0,0,0,2149.5582649669263,0,0,1
5,11,4,11900.700000047684,15247.200000047684,3.3465,4,4,0,0,0,1621.9570451078034,0,0,1
6,15,6,15247.800000011921,18675.700000047684,3.4279000000357627,6,6,0,0,0,1795.6425391669582,0,0,1
7,15,6,18676.30000001192,21849.5,3.173199999988079,6,6,0,0,0,2120.0840428074134,0,0,1
8,12,4,21849.900000035763,24242.400000035763,2.3925,4,4,0,0,0,2314.623045241997,0,0,1
9,13,6,24242.80000001192,27899.5,3.656699999988079,6,6,0,0,0,2756.573126575857,0,0,1
10,13,6,27900.200000047684,31703.700000047684,3.8035,6,6,0,0,0,2129.0389644397633,0,0,1
11,12,4,31704.200000047684,34229.700000047684,2.5255,4,4,0,0,0,1826.5118761417284,0,0,1
12,14,5,34230.10000002384,37551.200000047684,3.3211000000238418,5,5,0,0,0,1322.1169104639082,0,0,1
13,14,4,37551.60000002384,40441.80000001192,2.890199999988079,4,4,0,0,0,1765.647545172556,0,0,1
14,14,6,40442.200000047684,43779.200000047684,3.337,6,6,0,0,0,2496.5035037776665,0,0,1
15,12,6,43779.700000047684,47106.5,3.3267999999523163,6,6,0,0,0,2200.1224930574544,0,0,1
16,13,5,47107,49647,2.54,5,5,0,0,0,1656.2373569909016,0,0,1
17,13,3,49647.40000003576,51825.700000047684,2.178300000011921,3,3,0,0,0,1829.0587050059544,0,0,1
18,10,5,51826.10000002384,55208.200000047684,3.3821000000238417,5,5,0,0,0,2415.7745514894327,0,0,1
19,12,6,55208.60000002384,58362.200000047684,3.1536000000238418,6,6,0,0,0,2465.1246221493984,0,0,1
20,10,4,58362.60000002384,60970.5,2.607899999976158,4,4,0,0,0,2135.351710929196,0,0,1
