trialNumber,totalItemCount,targetCount,startTime,endTime,timeTaken,totalSelections,correctSelections,incorrectSelections,deselectedTargets,deselectedNonTargets,totalCursorDistance,netDeselectRate,targetDeselectRate,netAccuracy
1,14,6,269.2999999523163,7047.599999964237,6.778300000011921,6,6,0,0,0,2373.8749639158473,0,0,1
2,11,6,7048.299999952316,12464.5,5.4162000000476835,6,6,0,0,0,1669.1933230132122,0,0,1
3,10,4,12468.799999952316,16820.19999998808,4.351400000035762,4,4,0,0,1,1867.941442943879,0.25,0,1
4,15,4,16820.69999998808,20054.299999952316,3.233599999964237,4,4,0,0,0,2563.498904986267,0,0,1
5,13,3,20054.799999952316,22447,2.3922000000476835,3,3,0,0,0,2283.5795444386404,0,0,1
6,14,5,22447.5,25378.5,2.931,5,5,0,0,0,2404.226764474808,0,0,1
7,13,5,25378.899999976158,29884.5,4.505600000023842,5,5,0,0,1,3108.7161484005524,0.2,0,1
8,13,4,29885.099999964237,34830.299999952316,4.945199999988079,4,4,0,0,1,3761.987328825241,0.25,0,1
9,15,5,34830.89999997616,38356.799999952316,3.525899999976158,5,5,0,0,0,2690.0460953980373,0,0,1
10,10,4,38357.39999997616,40722.19999998808,2.364800000011921,4,4,0,0,0,1221.1853919413124,0,0,1
11,11,4,40722.69999998808,46116.799999952316,5.394099999964237,4,4,0,0,3,3032.350832731431,0.75,0,1
12,11,5,46117.19999998808,52982,6.864800000011921,5,5,0,2,1,3267.3331201338133,0.6,0.4,1
13,15,4,52982.5,61000.19999998808,8.017699999988078,4,4,0,1,1,4086.2209371293748,0.5,0.25,1
14,12,6,61000.69999998808,65423.299999952316,4.422599999964238,6,6,0,0,0,2401.7386247809573,0,0,1
15,10,4,65423.5,68555.59999996424,3.1320999999642374,4,4,0,0,0,2409.849791424554,0,0,1
16,15,4,68556.19999998808,71494.69999998808,2.9385,4,4,0,0,0,2317.2971257383856,0,0,1
17,13,3,71495.29999995232,73722.19999998808,2.2269000000357626,3,3,0,0,0,2361.299742876757,0,0,1
18,14,5,73722.59999996424,76778.79999995232,3.056199999988079,5,5,0,0,0,2833.4419098742255,0,0,1
19,12,6,76779.19999998808,81911.09999996424,5.1318999999761585,6,6,0,2,0,3739.511302537614,0.3333333333333333,0.3333333333333333,1
20,13,3,81911.79999995232,84501.19999998808,2.589400000035763,3,3,0,0,0,2568.4671083563658,0,0,1
