trialNumber,totalItemCount,targetCount,startTime,endTime,timeTaken,totalSelections,correctSelections,incorrectSelections,deselectedTargets,deselectedNonTargets,totalCursorDistance,netDeselectRate,targetDeselectRate,netAccuracy
1,14,4,239.9000000357628,3684.5,3.4445999999642374,4,4,0,0,0,593.7857891135521,0,0,1
2,10,5,3685.199999988079,7669.600000023842,3.984400000035763,5,5,0,0,0,971.7023039876307,0,0,1
3,11,5,7670.100000023842,12835.199999988079,5.165099999964237,4,4,0,1,1,968.7314420110031,0.5,0.25,0.8
4,11,3,12835.800000011921,14821.600000023842,1.985800000011921,3,3,0,0,0,1139.4069650265728,0,0,1
5,14,6,14822.600000023842,18810.30000001192,3.987699999988079,6,6,0,0,0,1883.9381776883217,0,0,1
6,13,5,18811,22134.30000001192,3.323300000011921,5,5,0,0,0,1714.491481558192,0,0,1
7,14,6,22135,26442.100000023842,4.3071000000238415,6,6,0,0,1,1438.931363000237,0.16666666666666666,0,1
8,13,5,26442.600000023842,30918.69999998808,4.476099999964237,5,5,0,0,1,1634.3728070331865,0.2,0,1
9,12,6,30919.100000023842,34908.80000001192,3.989699999988079,6,6,0,0,0,1236.1674720134222,0,0,1
10,13,6,34909.5,39978.30000001192,5.068800000011921,6,6,0,0,1,1736.2541067440966,0.16666666666666666,0,1
11,13,5,39978.60000002384,44038,4.059399999976158,5,5,0,0,0,1068.714985717435,0,0,1
12,15,6,44038.40000003576,48316.69999998808,4.278299999952316,6,6,0,0,0,998.3528183095535,0,0,1
13,11,3,48317.19999998808,50324.60000002384,2.0074000000357626,3,3,0,0,0,365.8337875261894,0,0,1
14,15,5,50325.19999998808,53920.5,3.595300000011921,5,5,0,0,0,1212.9657616043378,0,0,1
15,10,4,53920.80000001192,56650.10000002384,2.729300000011921,4,4,0,0,0,1393.3493198633166,0,0,1
16,11,5,56650.80000001192,59620,2.969199999988079,5,5,0,0,0,1069.150157153146,0,0,1
17,13,5,59620.60000002384,62965.90000003576,3.345300000011921,5,5,0,0,0,1130.7114334169057,0,0,1
18,13,6,62966.30000001192,66996.40000003576,4.030100000023842,6,6,0,0,0,1553.9495908159622,0,0,1
19,15,3,66997.10000002384,69145,2.147899999976158,3,3,0,0,0,801.2116522174932,0,0,1
20,12,6,69145.30000001192,73711.30000001192,4.566,6,6,0,0,0,1698.497919116615,0,0,1
