trialNumber,totalItemCount,targetCount,startTime,endTime,timeTaken,totalSelections,correctSelections,incorrectSelections,deselectedTargets,deselectedNonTargets,totalCursorDistance,netDeselectRate,targetDeselectRate,netAccuracy
1,10,5,342.40000009536743,3776.600000023842,3.4341999999284742,5,5,0,0,0,1333.2522013494165,0,0,1
2,14,3,3777.2000000476837,5676.400000095367,1.8992000000476836,3,3,0,0,0,508.70123786074095,0,0,1
3,15,3,5676.900000095367,8129.400000095367,2.4525,3,3,0,0,0,1167.960346855321,0,0,1
4,13,6,8130,12155.200000047684,4.0252000000476835,6,6,0,0,0,2171.525200154323,0,0,1
5,12,6,12155.700000047684,16103.400000095367,3.947700000047684,6,6,0,0,0,2519.5327014304694,0,0,1
6,13,6,16103.900000095367,19136.700000047684,3.0327999999523163,6,6,0,0,0,2356.5538127203927,0,0,1
7,11,5,19137.200000047684,22481.100000023842,3.3438999999761583,5,5,0,0,0,1488.4663721595903,0,0,1
8,12,4,22481.700000047684,26463.5,3.981799999952316,4,4,0,0,0,3468.0821594601116,0,0,1
9,15,5,26464.300000071526,29843.300000071526,3.379,5,5,0,0,0,2530.0464220704985,0,0,1
10,14,4,29843.800000071526,32348.400000095367,2.5046000000238418,4,4,0,0,0,1424.1586411394424,0,0,1
11,14,3,32348.900000095367,34249.60000002384,1.9006999999284744,3,3,0,0,0,1929.0097059056152,0,0,1
12,11,3,34250.10000002384,36410.90000009537,2.1608000000715255,3,3,0,0,0,1934.1626845785158,0,0,1
13,13,6,36411.5,40247.800000071526,3.8363000000715255,6,6,0,0,0,2175.625320742664,0,0,1
14,14,6,40248.300000071526,44097.5,3.8491999999284743,6,6,0,0,0,2621.5158837775284,0,0,1
15,10,5,44097.90000009537,46837.5,2.7395999999046325,5,5,0,0,0,1614.1670881524253,0,0,1
16,13,6,46837.90000009537,51488.800000071526,4.650899999976158,6,6,0,0,0,3548.2890097122713,0,0,1
17,13,6,51489.40000009537,54970.300000071526,3.4808999999761583,6,6,0,0,0,2101.9974424894704,0,0,1
18,13,3,54970.800000071526,56590.700000047684,1.619899999976158,3,3,0,0,0,745.6788890384861,0,0,1
19,12,4,56591.10000002384,59514.800000071526,2.923700000047684,4,4,0,0,0,2068.4313431440496,0,0,1
20,14,4,59515.200000047684,62230.300000071526,2.715100000023842,4,4,0,0,0,1692.3683110773545,0,0,1
