trialNumber,totalItemCount,targetCount,startTime,endTime,timeTaken,totalSelections,correctSelections,incorrectSelections,deselectedTargets,deselectedNonTargets,totalCursorDistance,netDeselectRate,targetDeselectRate,netAccuracy
1,14,4,340.39999997615814,3963.599999964237,3.623199999988079,4,4,0,0,0,2310.7735702036052,0,0,1
2,12,4,3964.300000011921,6942.899999976158,2.978599999964237,4,4,0,0,0,2113.9937733736497,0,0,1
3,10,3,6943.300000011921,9420.699999988079,2.477399999976158,3,3,0,0,0,1372.9523998862016,0,0,1
4,10,4,9421.399999976158,12422.199999988079,3.000800000011921,4,4,0,0,0,1925.3887132110242,0,0,1
5,11,6,12422.800000011921,16525.69999998808,4.102899999976158,6,6,0,0,0,1683.3388389374993,0,0,1
6,10,3,16526.099999964237,18608.69999998808,2.082600000023842,3,3,0,0,0,1521.956607797135,0,0,1
7,15,5,18609.099999964237,22052,3.442900000035763,5,5,0,0,0,2343.552372717901,0,0,1
8,11,5,22052.30000001192,25497.19999998808,3.4448999999761583,5,5,0,0,0,2618.550234200981,0,0,1
9,11,4,25497.80000001192,28182,2.684199999988079,4,4,0,0,0,1559.0903905024848,0,0,1
10,12,6,28182.5,35632.80000001192,7.450300000011921,6,6,0,0,0,3611.626732254338,0,0,1
11,11,3,35633.39999997616,38116.09999996424,2.482699999988079,3,3,0,0,0,1607.2312073253665,0,0,1
12,12,5,38116.5,41421.69999998808,3.305199999988079,5,5,0,0,0,2103.048769159765,0,0,1
13,13,4,41422.09999996424,43963.19999998808,2.541100000023842,4,4,0,0,0,1761.4798825807352,0,0,1
14,12,5,43963.59999996424,48729.5,4.765900000035763,5,5,0,0,0,2965.8129310818363,0,0,1
15,10,6,48729.89999997616,52688.80000001192,3.958900000035763,6,6,0,0,0,1871.6636652422217,0,0,1
16,13,6,52689.5,57640.19999998808,4.950699999988079,6,6,0,0,0,2566.2386487900494,0,0,1
17,11,6,57640.59999996424,62162.80000001192,4.522200000047683,6,6,0,0,0,1713.7669794994065,0,0,1
18,11,4,62163.19999998808,64900.5,2.737300000011921,4,4,0,0,0,2094.8770089266113,0,0,1
19,11,5,64901,68030.09999996424,3.1290999999642373,5,5,0,0,0,1224.3161393000748,0,0,1
20,12,6,68030.69999998808,72108.09999996424,4.0773999999761585,6,6,0,0,0,2784.7114936404123,0,0,1
