Trial #,Prompt,User Input,Start Time, End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,gamblers eventually lose their shirts,gamblers eventually lose their shirt,182.5,18635.600000023842,18.45310000002384,49,2.7027027027027026,97.2972972972973,23.41070064105445,5
2,travel at the speed of light,travel at the speed of ligh,18636.299999952316,25795.699999928474,7.159399999976158,50,3.571428571428571,96.42857142857143,45.25518898246766,3
3,do a good deed to someone,do a good deed to someon,25796,30126.899999976158,4.330899999976158,27,4,96,66.4988801407526,0
4,vanilla flavored ice cream,vanilla flavored ice crea,30127.100000023842,37890.5,7.7633999999761585,33,3.8461538461538463,96.15384615384616,38.64286266338477,2
5,accompanied by an adult,accompanied by an adul,37890.699999928474,44121.799999952316,6.231100000023842,25,4.3478260869565215,95.65217391304348,42.368121198342166,0
6,the laser printer is jammed,the laser printer is jamme,44122,49546,5.424,37,3.7037037037037033,96.29629629629629,57.52212389380531,4
7,rejection letters are discouraging,rejection letters are discouragin,49546.199999928474,57474.10000002384,7.927900000095367,44,2.941176470588235,97.05882352941177,49.95017596024626,4
8,not quite so smart as you think,not quite so smart as you thin,57474.299999952316,64340,6.865700000047684,39,3.225806451612903,96.7741935483871,52.43456603077614,3
9,the four seasons will come,the four seasons will com,64340.10000002384,69448.69999992847,5.108599999904633,28,3.8461538461538463,96.15384615384616,58.724503779039345,0
10,traveling requires a lot of fuel,traveling requires a lot of fue,69448.79999995232,75163.10000002384,5.714300000071526,34,3.125,96.875,65.09983724959201,0
11,just in time for the party,just in time for the part,75163.39999997616,80462.60000002384,5.2992000000476835,32,3.8461538461538463,96.15384615384616,56.6123188400703,2
12,that is a very nasty cut,that is a very nasty cu,80462.69999992847,85758,5.295300000071526,28,4.166666666666666,95.83333333333334,52.1216928212324,1
13,universities are too expensive,universities are too expensic,85758.19999992847,93205,7.4468000000715255,36,6.666666666666667,93.33333333333333,46.7314819783877,2
14,Canada has three territories,Canada has three territorie,93205.19999992847,101925,8.719800000071526,43,3.571428571428571,96.42857142857143,37.15681552298703,6
15,for murder you get a long prison sentence,for muder you get a long prison sentenc,101925.19999992847,108285.19999992847,6.36,42,4.878048780487805,95.1219512195122,73.58490566037736,0
