Trial #,Prompt,User Input,Start Time, End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,buckle up for safety,buckle up for safet,259.40000009536743,6008.100000023842,5.7486999999284745,22,5,95,39.661140780147996,0
2,I will meet you at noon,I will meet you at noo,6008.400000095367,15195.700000047684,9.187299999952316,47,4.3478260869565215,95.65217391304348,28.735319408462797,9
3,house with new electrical panel,house with new electrical pane,15196,21456.700000047684,6.260700000047684,33,3.225806451612903,96.7741935483871,57.50155733340651,0
4,for your information only,for your information onl,21457.100000023842,26183.5,4.726399999976159,28,4,96,60.93432633747731,0
5,arguing with the boss is futile,arguing wtih the boss is futil,26183.800000071526,33430.40000009537,7.246600000023842,35,9.67741935483871,90.32258064516128,49.678469902963535,0
6,my preferred treat is chocolate,my preferred treat is chocolat,33430.60000002384,44859.90000009537,11.429300000071526,55,3.225806451612903,96.7741935483871,31.49799200281269,11
7,do not drink the water,do not drink the wate,44860.200000047684,52035.700000047684,7.1755,32,4.545454545454546,95.45454545454545,35.119503867326316,4
8,suburbs are sprawling everywhere,suburbs are sprawling everywher,52035.90000009537,63559.300000071526,11.523399999976158,44,3.125,96.875,32.2821389521122,5
9,granite is the hardest of all rocks,granite is the hardest of all rock,63559.60000002384,72249.40000009537,8.689800000071525,39,2.857142857142857,97.14285714285714,46.95159842535407,1
10,gamblers eventually lose their shirts,gamblers eventually lose their shirt,72249.70000004768,81537.5,9.287799999952316,45,2.7027027027027026,97.2972972972973,46.51262947115764,3
11,gamblers eventually lose their shirts,gamblers eventually lose their shirt,81537.70000004768,90096.30000007153,8.558600000023842,39,2.7027027027027026,97.2972972972973,50.47554506564117,0
12,sit at the front of the bus,sit at the front of the the bu,90096.5,95960.10000002384,5.863600000023842,33,18.51851851851852,81.48148148148148,61.39572958567027,0
13,this phenomenon will never occur,this phenomenon will never occu,95960.30000007153,103467.5,7.507199999928474,34,3.125,96.875,49.5524296679913,0
14,do you like to go camping,do you like to go cmaplin,103467.70000004768,113357,9.889299999952316,37,16,84,30.335817499868195,4
15,information super highway,information super highwa,113357.80000007153,123845.80000007153,10.488,45,4,96,27.45995423340961,9
