Trial #,Prompt,User Input,Start Time, End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,careless driving results in a fine,careless driving results in a fin,157.39999997615814,8343.300000071526,8.185900000095367,48,2.941176470588235,97.05882352941177,48.375865817489405,6
2,the assault took six months,the assault took six month,8343.700000047684,16807,8.463299999952316,53,3.7037037037037033,96.29629629629629,36.865052639249214,12
3,stiff penalty for staying out late,stiff penalty for staying out lat,16807.399999976158,22321.200000047684,5.513800000071526,36,2.941176470588235,97.05882352941177,71.81979759782055,0
4,just like it says on the canned good,just like it says on the canned goo,22321.600000023842,29896.899999976158,7.575299999952316,42,2.7777777777777777,97.22222222222221,55.4433487786152,2
5,rectangular objects have four sides,rectangular objects have four side,29897.399999976158,38123.200000047684,8.225800000071526,41,2.857142857142857,97.14285714285714,49.600038901560005,2
6,stay away from strangers,stay away from stranger,38123.5,42119.700000047684,3.9962000000476836,26,4.166666666666666,95.83333333333334,69.06561233089101,0
7,labor unions know how to organize,labor unions know how to organiz,42119.800000071526,50951.5,8.831699999928475,47,3.0303030303030303,96.96969696969697,43.47973776318375,6
8,make my day you sucker,make my day you sucke,50951.800000071526,56683.89999997616,5.732099999904633,32,4.545454545454546,95.45454545454545,43.96294551808109,4
9,I want to hold your hand,I want to hold your han,56684.10000002384,62776.10000002384,6.092,37,4.166666666666666,95.83333333333334,45.30531845042679,5
10,a steep learning curve in riding a unicycle,a steep learning curve in riding a unicycl,62776.300000071526,70473.89999997616,7.697599999904632,49,2.3255813953488373,97.67441860465115,65.47495323298745,2
11,nobody cares anymore,nobody cares anymor,70474.30000007153,76011.80000007153,5.5375,24,5,95,41.17381489841986,1
12,mystery of the lost lagoon,mystery of hte lost lagoo,76011.89999997616,82798.30000007153,6.786400000095368,34,11.538461538461538,88.46153846153845,44.20605917655667,3
13,please follow the guidelines,please follow the guideline,82798.5,90311.70000004768,7.513200000047684,48,3.571428571428571,96.42857142857143,43.12410158094336,9
14,drugs should be avoided,drugs should be avoide,90312,95801.10000002384,5.489100000023842,26,4.3478260869565215,95.65217391304348,48.09531617184117,0
15,the largest of the five oceans,the largest of the five orcean,95801.30000007153,103563,7.761699999928474,57,6.666666666666667,93.33333333333333,46.38159166204794,12
