Trial #,Prompt,User Input,Start Time, End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,beware the ides of March,beware of the ides of Marc,188.89999997615814,7302,7.113100000023842,30,16.666666666666664,83.33333333333334,43.86273214195698,0
2,the proprietor was unavailable,the proprietor was unavailabl,7302.300000071526,14193.100000023842,6.890799999952316,32,3.3333333333333335,96.66666666666667,50.50211876740119,0
3,a lot of chlorine in the water,a lot of chlorine in the wate,14193.5,19236.5,5.043,32,3.3333333333333335,96.66666666666667,69.00654372397382,0
4,the chamber makes important decisions,the cahmber makes important decision,19236.899999976158,24816.100000023842,5.579200000047684,41,8.108108108108109,91.8918918918919,77.4304559786901,1
5,this mission statement is baloney,this mission statement is a balone,24816.399999976158,33356.200000047684,8.539800000071526,47,9.090909090909092,90.9090909090909,47.776294526403746,5
6,the Force is with you,the Force is with yo,33356.39999997616,37293.800000071526,3.9374000000953675,26,4.761904761904762,95.23809523809523,60.95392898719636,1
7,zero in on the facts,zero in on the fact,37293.89999997616,40703.800000071526,3.4099000000953676,22,5,95,66.86413091105995,0
8,sprawling subdivisions are bad,sprawling subdivisions are ba,40703.89999997616,46748.5,6.044600000023842,32,3.3333333333333335,96.66666666666667,57.57204777795509,0
9,listen to five hours of opera,listen to five hours of oper,46748.700000047684,55243.10000002384,8.494399999976158,37,3.4482758620689653,96.55172413793103,39.55547184038226,2
10,you must be getting old,you must be getting ol,55243.300000071526,59519.39999997616,4.276099999904632,25,4.3478260869565215,95.65217391304348,61.738500036455626,0
11,coalition governments never work,coalition goverments never wor,59519.60000002384,66423,6.903399999976158,35,6.25,93.75,52.14821682087715,1
12,he watched in astonishment,he watched in astonishmen,66423.20000004768,72443.60000002384,6.020399999976158,30,3.8461538461538463,96.15384615384616,49.83057604165638,1
13,do not worry about this,do not worry about thi,72443.70000004768,76204.10000002384,3.760399999976158,25,4.3478260869565215,95.65217391304348,70.20529730924207,0
14,a subject one can really enjoy,a subject one can really enjo,76204.39999997616,80687.10000002384,4.482700000047684,32,3.3333333333333335,96.66666666666667,77.63178441481656,0
15,rectangular objects have four sides,rectangular objects have four side,80687.30000007153,88279.30000007153,7.592,45,2.857142857142857,97.14285714285714,53.740779768177035,4
