Trial #,Prompt,User Input,Start Time, End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,bring the offenders to justice,bring hte offenders to justic,166.39999997615814,5770.200000047684,5.603800000071526,33,10,90,62.100717369563185,0
2,my fingers are very cold,my fingers are very col,5770.700000047684,10558.300000071526,4.787600000023842,32,4.166666666666666,95.83333333333334,57.6489263928953,3
3,seasoned golfers love the game,seasoned golfers love the gam,10558.700000047684,17746.800000071526,7.188100000023842,34,3.3333333333333335,96.66666666666667,48.41334984193956,1
4,please keep this confidential,please keep this conifdentia,17747.300000071526,22960,5.212699999928474,31,10.344827586206897,89.65517241379311,64.45795844852196,0
5,a glance in the right direction,a glance in the right directio,22960.5,30055.899999976158,7.095399999976158,41,3.225806451612903,96.7741935483871,50.737097274460865,4
6,the Force is with you,the Force is with yo,30056.100000023842,35585,5.528899999976158,32,4.761904761904762,95.23809523809523,43.40827289352944,4
7,elections bring out the best,elections bring out the bes,35585.300000071526,41614.60000002384,6.0292999999523165,38,3.571428571428571,96.42857142857143,53.737581477545056,4
8,the voters turfed him out,the voters turfed him ou,41614.800000071526,46388.10000002384,4.773299999952316,31,4,96,60.33561686943561,2
9,rapidly running short on words,rapidly running short on word,46388.200000047684,51691.10000002384,5.302899999976158,32,3.3333333333333335,96.66666666666667,65.62446963012025,0
10,quick there is someone knocking,quick there is someone knockin,51691.300000071526,58413.39999997616,6.722099999904633,39,3.225806451612903,96.7741935483871,53.554692730710244,3
11,the Dow Jones index has risen,the Dow Jones index has rise,58413.700000047684,63506.5,5.092799999952316,37,3.4482758620689653,96.55172413793103,65.97549481682884,2
12,the cat has a pleasant temperament,the cat has a pleasant temperamet,63506.700000047684,72802.20000004768,9.2955,48,2.941176470588235,97.05882352941177,42.60125867355172,5
13,tell a lie and your nose will grow,tell a lie and your nose will gro,72802.5,77652.39999997616,4.8498999999761585,36,2.941176470588235,97.05882352941177,81.65116806572232,0
14,an airport is a very busy place,an aiprort is a very busy plac,77652.70000004768,84788.70000004768,7.136,37,9.67741935483871,90.32258064516128,50.44843049327354,2
15,go out for some pizza and beer,go out for some pizza and bee,84788.89999997616,93540.80000007153,8.751900000095368,48,3.3333333333333335,96.66666666666667,39.762794364218955,8
