Trial #,Prompt,User Input,Start Time, End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,irregular verbs are the hardest to learn,irregular verbs are the hardest to lear,228.39999997615814,9470.399999976158,9.242,48,2.5,97.5,50.63838995888335,3
2,would you like to come to my house,would you like to come to my hous,9471.200000047684,15085.5,5.614299999952316,36,2.941176470588235,97.05882352941177,70.53417166937344,0
3,he was wearing a sweatshirt,he was wearing a sweatshir,15085.899999976158,21079.5,5.993600000023842,29,3.7037037037037033,96.29629629629629,52.05552589408016,0
4,toss the ball around,tss the ball aroun,21079.799999952316,25186.799999952316,4.107,21,10,90,52.593133674214755,0
5,elections bring out the best,electsoin bring out the bes,25187,29619.700000047684,4.432700000047683,30,14.285714285714285,85.71428571428571,73.09314864450891,0
6,flashing red light means stop,flashing red light means sto,29619.799999952316,34632.5,5.012700000047683,35,3.4482758620689653,96.55172413793103,67.02974444846167,2
7,the chamber makes important decisions,the chamber makes important decision,34632.60000002384,42985.799999952316,8.353199999928474,45,2.7027027027027026,97.2972972972973,51.716707370073635,3
8,interactions between men and women,interactions between men and wome,42986,49672.799999952316,6.686799999952316,36,2.941176470588235,97.05882352941177,59.22115212101811,0
9,can we play cards tonight,can we play cards tonigh,49673,54193.10000002384,4.520100000023842,27,4,96,63.71540452611246,0
10,the collapse of the Roman Empire,the collapse of the Roman Empir,54193.299999952316,62693.299999952316,8.5,48,3.125,96.875,43.76470588235294,6
11,our silver anniversary is coming,our silver snniversary is comin,62693.5,71622.20000004768,8.928700000047684,50,6.25,93.75,41.66340004681682,0
12,hands on experience with a job,hands on experience with a jo,71622.39999997616,78678,7.0556000000238415,32,3.3333333333333335,96.66666666666667,49.32252395243836,0
13,my fingers are very cold,my fingers are very col,78678.20000004768,82760.29999995232,4.082099999904632,26,4.166666666666666,95.83333333333334,67.61225839799319,0
14,lie detector tests never work,lie detector tests never wor,82760.5,90578,7.8175,39,3.4482758620689653,96.55172413793103,42.98049248480972,4
15,have a good weekend,have a good weeken,90578.20000004768,94834.39999997616,4.256199999928475,25,5.263157894736842,94.73684210526315,50.74949485541795,2
