Trial #,Prompt,User Input,Start Time, End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,do you get nervous when you speak,do  you get nervour when you spea,160.89999997615814,69338.19999992847,69.17729999995231,36,9.090909090909092,90.9090909090909,5.724421161280839,0
2,Her Majesty visited our country,Her Majesty visited our countr,69338.89999997616,78483.5,9.144600000023841,40,3.225806451612903,96.7741935483871,39.367495571054114,2
3,it looks like a shack,it looks like a shac,78484,84924.69999992847,6.440699999928475,26,4.761904761904762,95.23809523809523,37.26303041636239,1
4,I took the rover from the shop,I took the rover from the sho,84925,90418.19999992847,5.493199999928475,33,3.3333333333333335,96.66666666666667,63.35105221082996,0
5,nothing wrong with his style,nothing wrong with his styl,90418.5,94867.09999990463,4.448599999904633,30,3.571428571428571,96.42857142857143,72.83190217303103,0
6,file all complaints in writing,file all complaints in writin,94867.29999995232,101084.29999995232,6.217,38,3.3333333333333335,96.66666666666667,55.97555090879845,3
7,flashing red light means stop,flashing red light means sto,101084.5,106756.79999995232,5.672299999952316,33,3.4482758620689653,96.55172413793103,59.2352308592325,1
8,it should be sunny tomorrow,it should be sunny tomorro,106757.09999990463,113755.09999990463,6.998,37,3.7037037037037033,96.29629629629629,44.58416690482995,4
9,salesmen must make their monthly quota,salesmen must make their monthly quot,113755.29999995232,122884.59999990463,9.129299999952316,46,2.631578947368421,97.36842105263158,48.63461601681609,3
10,sit at the front of the bus,sit at the front of the bu,122885.19999992847,127657.79999995232,4.772600000023842,29,3.7037037037037033,96.29629629629629,65.37317185568482,0
11,elections bring out the best,elections bring out the bes,127658.09999990463,134019.19999992847,6.361100000023842,40,3.571428571428571,96.42857142857143,50.934586785113524,5
12,I cannot believe I ate the whole thing,I cannot believe I ate the whole thin,134019.5,141818,7.7985,46,2.631578947368421,97.36842105263158,56.93402577418735,2
13,pay off a mortgage for a house,pay off a mortgage for a hous,141818.29999995232,148588.59999990463,6.770299999952316,42,3.3333333333333335,96.66666666666667,51.40097189230182,5
14,the capitol of our nation,the  capitol of our natio,148588.89999997616,153376.69999992847,4.787799999952316,30,8,92,62.65925895045487,1
15,neither a borrower nor a lender be,neither a borrower nor a lender b,153376.79999995232,163544.69999992847,10.167899999976159,37,2.941176470588235,97.05882352941177,38.94609506396881,0
