Trial #,Prompt,User Input,Start Time, End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,the most beautiful sunset,the most beautfil sunse,142.29999995231628,6198.100000023842,6.0558000000715255,26,12,88,45.57614187997294,0
2,bank transaction was not registered,bank transaction was not registere,6198.399999976158,11347.399999976158,5.149,37,2.857142857142857,97.14285714285714,79.23868712371333,0
3,file all complaints in writing,files all complaints in writin,11348,16059.799999952316,4.711799999952317,33,6.666666666666667,93.33333333333333,76.40392206877269,0
4,relations are very strained,relations are very straine,16060.100000023842,22212,6.151899999976158,39,3.7037037037037033,96.29629629629629,50.716038947513645,5
5,hands on experience with a job,hands on experience with a jo,22212.100000023842,27570,5.3578999999761585,34,3.3333333333333335,96.66666666666667,64.95082028435553,1
6,he is just like everyone else,he is just like everyone els,27570.299999952316,35069.10000002384,7.498800000071525,36,3.4482758620689653,96.55172413793103,44.80716914663615,0
7,a fox is a very smart animal,a fox is a very smart anima,35069.39999997616,41080.60000002384,6.011200000047683,30,3.571428571428571,96.42857142857143,53.89938780899486,0
8,universally understood to be wrong,universally understood to be wron,41080.89999997616,47964.5,6.883600000023842,42,2.941176470588235,97.05882352941177,57.528037654516304,3
9,keep receipts for all your expenses,keep receipts for all your expense,47964.700000047684,56821.799999952316,8.857099999904632,53,2.857142857142857,97.14285714285714,46.06473902342675,8
10,an excellent way to communicate,an excellent way to communicat,56822.10000002384,63550.10000002384,6.728,37,3.225806451612903,96.7741935483871,53.50772889417361,2
11,the protesters blocked all traffic,the protesters blocked all traffi,63550.39999997616,74099.29999995232,10.548899999976157,52,2.941176470588235,97.05882352941177,37.53945909060613,8
12,if at first you do not succeed,if at first you do not succee,74099.5,81450.5,7.351,37,3.3333333333333335,96.66666666666667,47.34049789144334,2
13,good jobs for those with education,good jobs for those with educatio,81450.79999995232,88737.79999995232,7.287,38,2.941176470588235,97.05882352941177,54.343351173322354,1
14,I agree with you,I agree with yo,88738.20000004768,95453.20000004768,6.715,31,6.25,93.75,26.80565897244974,6
15,the assault took six months,the assault took six month,95453.39999997616,102275.70000004768,6.822300000071525,35,3.7037037037037033,96.29629629629629,45.732377643423625,3
