Trial #,Prompt,User Input,Start Time, End Time,Time Taken (s),Total Keystrokes,Character Error Rate [Edit Distance] (%),Accuracy [Edit Distance] (%),WPM,Backspaces
1,I just cannot figure this out,I just cannot figure this ou,185.60000002384186,5251.5,5.065899999976158,34,3.4482758620689653,96.55172413793103,66.3258256186623,1
2,a thoroughly disgusting thing to say,a thorouhgly disgusting thing to sa,5251.899999976158,12624.299999952316,7.3723999999761585,44,8.333333333333332,91.66666666666666,56.96923661241363,3
3,people blow their own horn a lot,people blow their own horn a lo,12624.799999952316,19119.799999952316,6.495,36,3.125,96.875,57.27482678983834,1
4,get aboard the ship is leaving,get aboard the ship is leavin,19120.100000023842,24774.100000023842,5.654,36,3.3333333333333335,96.66666666666667,61.549345596038194,2
5,motivational seminars make me sick,motivational seminars make me sic,24774.399999976158,33766.199999928474,8.991799999952317,50,2.941176470588235,97.05882352941177,44.0401254478636,7
6,want to join us for lunch,want to join us for lunc,33766.5,38773.199999928474,5.0066999999284745,27,4,96,57.52291928897564,0
7,labor unions know how to organize,labor unions know how to organiz,38773.60000002384,46482.199999928474,7.708599999904632,41,3.0303030303030303,96.96969696969697,49.814492904645554,3
8,sent this by registered mail,sent this by registered mai,46482.39999997616,51341.10000002384,4.858700000047683,30,3.571428571428571,96.42857142857143,66.68450408480051,0
9,yes you are very smart,yes you are very smar,51341.299999952316,56992.10000002384,5.650800000071525,32,4.545454545454546,95.45454545454545,44.595455510159674,4
10,the gun discharged by accident,the gun discharged by acciden,56992.39999997616,64418.39999997616,7.426,36,3.3333333333333335,96.66666666666667,46.862375437651494,2
11,double double toil and trouble,double double toil and troubl,64418.60000002384,70553.39999997616,6.134799999952317,34,3.3333333333333335,96.66666666666667,56.72556562605217,1
12,Valium in the economy size,Valium in the economy siz,70553.5,77189.60000002384,6.636100000023842,35,3.8461538461538463,96.15384615384616,45.20727535735178,3
13,he is still on our team,he is still on our tea,77189.79999995232,82726.60000002384,5.536800000071525,27,4.3478260869565215,95.65217391304348,47.680970957338104,1
14,it is very windy today,it is very windy tod,82726.79999995232,87047.39999997616,4.320600000023842,24,9.090909090909092,90.9090909090909,55.547840577391014,0
15,he was wearing a sweatshirt,he was wearing a sweatshir,87047.60000002384,93778.89999997616,6.731299999952316,31,3.7037037037037033,96.29629629629629,46.350630636312474,1
