trialNumber,targetSize,targetDistance,lastTargetX,lastTargetY,currentTargetX,currentTargetY,attemptedX,attemptedY,timeTaken,accuracy,missCount,isHit
1,30,180,-1,-1,1080,400,1072,406,1731,33.33333333333333,0,true
2,35,200,1080,400,800,573.2050807568878,797,562,974,33.715804261636286,0,true
3,15,300,800,573.2050807568878,749.9999999999999,140.1923788646685,749,140,982,86.42217737913333,0,true
4,20,240,749.9999999999999,140.1923788646685,1020,192.15390309173475,1013,202,997,0,0,true
5,20,300,1020,192.15390309173475,1200,400,1213,392,832,0,0,true
6,15,180,1200,400,990,555.884572681199,998,551,1387,0,0,true
7,20,240,990,555.884572681199,692.1539030917347,520,700,524,1072,11.9311424543897,0,true
8,30,240,692.1539030917347,520,779.9999999999999,192.15390309173478,781,190,864,84.16852849039842,0,true
9,30,300,779.9999999999999,192.15390309173478,1200,400,1192,392,890,24.575276673434924,0,true
10,20,240,1200,400,900,640,902,638,959,71.7157287525381,0,true
11,35,180,900,640,744.115427318801,490,769,484,861,0,0,true
12,15,300,744.115427318801,490,640.1923788646684,250.00000000000009,647,248,1397,5.395602148536358,0,true
13,20,240,640.1923788646684,250.00000000000009,1107.8460969082653,279.9999999999999,1109,269,1139,0,0,true
14,35,180,1107.8460969082653,279.9999999999999,990,555.884572681199,998,541,809,3.438630464390826,0,true
15,20,180,990,555.884572681199,810,555.884572681199,796,551,811,0,0,true
